Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
CBSNews,Tue Aug 14 14:29:49 +0000 2018,"Bethenny Frankel pays tribute to late boyfriend Dennis Shields, attends funeral on Long Island, New York… https://t.co/fEvr2ytu9z",-0.3612,0.0,0.135,0.865,66
CBSNews,Tue Aug 14 14:14:36 +0000 2018,BMW recall: South Korea bans vehicles because of fire risk https://t.co/BGuFSfZbpf https://t.co/M2jNpQNLHW,-0.5423,0.0,0.31,0.69,65
CBSNews,Tue Aug 14 13:59:54 +0000 2018,"Taliban overruns Afghan base, killing 17 soldiers. Comes as Afghanistan's U.S.-backed forces entrenched elsewhere,… https://t.co/ea8BnpdeZB",-0.6597,0.0,0.239,0.761,64
CBSNews,Tue Aug 14 13:47:37 +0000 2018,"UNLIKELY FRIENDSHIP: A comforting golden retriever formed a special bond with a mini rescue horse, who arrived at t… https://t.co/xflVKGTRyk",0.9068,0.487,0.0,0.513,63
CBSNews,Tue Aug 14 13:36:35 +0000 2018,RT @CBSThisMorning: WATCH: @AlexWagner asks a group of millennial female voters their thoughts on guns and efforts to promote gun safety re…,0.4588,0.209,0.093,0.698,62
CBSNews,Tue Aug 14 13:29:52 +0000 2018,Movie theaters try 3-screen immersion to fend off Netflix https://t.co/2XFOscFnWe https://t.co/uABv3cNLcy,0.0,0.0,0.0,1.0,61
CBSNews,Tue Aug 14 13:14:46 +0000 2018,A highly anticipated grand jury report detailing alleged abuses by hundreds of Catholic priests across Pennsylvania… https://t.co/sgSDcc4Xvt,-0.0828,0.157,0.172,0.671,60
CBSNews,Tue Aug 14 13:00:47 +0000 2018,"""In Trump world, everyone lies"": After releasing a series of damaging recordings, Omarosa Manigault Newman said she… https://t.co/3QD7lcMBQu",-0.5106,0.0,0.171,0.829,59
CBSNews,Tue Aug 14 12:40:29 +0000 2018,"Aretha Franklin is in home hospice care, a source close to her family tells CBS News https://t.co/UdcxxoOJX2 https://t.co/PPyA6XgtfM",0.4939,0.167,0.0,0.833,58
CBSNews,Tue Aug 14 12:19:58 +0000 2018,FIERY CRASH: A man crashed a plane into his own house just hours after he was released from jail for domestic viole… https://t.co/5nv4ptBYI6,-0.7626,0.0,0.257,0.743,57
CBSNews,Tue Aug 14 11:59:55 +0000 2018,The sudden downfall of Sen. Al Franken amid the rise of the #MeToo movement set the course for what could be a two-… https://t.co/e8nVslOvOO,0.0,0.0,0.0,1.0,56
CBSNews,Tue Aug 14 11:43:12 +0000 2018,"RT @CBSThisMorning: You have everything that you say in the book backed up by tape or email? 

 ""Absolutely. If you see it in quotes, it ca…",0.0258,0.042,0.0,0.958,55
CBSNews,Tue Aug 14 11:39:37 +0000 2018,West Virginia lawmakers vote to impeach all four state Supreme Court justices: https://t.co/I6ei6vq6KX https://t.co/rkwLnEPMzd,0.5574,0.217,0.0,0.783,54
CBSNews,Tue Aug 14 11:29:59 +0000 2018,"RT @CBSThisMorning: Why do you want to work in a world where everybody lies?

""I've been in politics for 20 years. Everybody lies in politi…",-0.6486,0.047,0.201,0.753,53
CBSNews,Tue Aug 14 11:29:56 +0000 2018,"RT @CBSThisMorning: ""In Trump world, everyone lies. Everyone says one thing one day and they change their story the next day."" -- @Omarosa…",-0.4215,0.0,0.113,0.887,52
CBSNews,Tue Aug 14 11:29:03 +0000 2018,Omarosa reveals audio of Trump campaign aides allegedly discussing potential fallout of N-word:… https://t.co/K4iIzpotzf,0.0,0.0,0.0,1.0,51
CBSNews,Tue Aug 14 11:20:27 +0000 2018,"RT @CBSThisMorning: Why were you taping? -- @GayleKing 

""Because the truth matters, Gayle. And if I didn't have this tape, you all would p…",0.34,0.139,0.0,0.861,50
CBSNews,Tue Aug 14 11:20:08 +0000 2018,Late cloud develops over Keith Ellison's bid for Minnesota attorney general: https://t.co/Bb4pySnaUY https://t.co/HoziKWu88z,0.0,0.0,0.0,1.0,49
CBSNews,Tue Aug 14 11:19:20 +0000 2018,President Trump says @Omarosa lied when she called him a racist who has said the N-word on tape. But a new recordin… https://t.co/mdJ7ZGZX0f,-0.765,0.0,0.258,0.742,48
CBSNews,Tue Aug 14 11:07:28 +0000 2018,"A raised highway has partially collapsed in northern Italy, news reports say; no immediate confirmation of deaths o… https://t.co/0eha5ne8Uz",-0.5106,0.0,0.212,0.788,47
CBSNews,Tue Aug 14 11:00:47 +0000 2018,"Awkwafina on why the impact of ""Crazy Rich Asians"" gets her emotional https://t.co/QWjGYith8z https://t.co/mWqESOnuog",0.4215,0.28,0.129,0.591,46
